coda,nucleus,onset,jyutping,tone
u,eo,d,deou5,5
u,eo,d,deou6,6
,eo,d,deo1,1
,eo,d,deo2,2
,eo,d,deo3,3
,eo,d,deo4,4
,eo,d,deo5,5
,eo,d,deo6,6
p,o,d,dop1,1
p,o,d,dop2,2
p,o,d,dop3,3
p,o,d,dop4,4
p,o,d,dop5,5
p,o,d,dop6,6
t,o,d,dot1,1
t,o,d,dot2,2
t,o,d,dot3,3
t,o,d,dot4,4
t,o,d,dot5,5
t,o,d,dot6,6
k,o,d,dok1,1
k,o,d,dok2,2
k,o,d,dok3,3
k,o,d,dok4,4
k,o,d,dok5,5
k,o,d,dok6,6
m,o,d,dom1,1
m,o,d,dom2,2
m,o,d,dom3,3
m,o,d,dom4,4
m,o,d,dom5,5
m,o,d,dom6,6
n,o,d,don1,1
n,o,d,don2,2
n,o,d,don3,3
n,o,d,don4,4
n,o,d,don5,5
n,o,d,don6,6
ng,o,d,dong1,1
ng,o,d,dong2,2
ng,o,d,dong3,3
ng,o,d,dong4,4
ng,o,d,dong5,5
ng,o,d,dong6,6
i,o,d,doi1,1
i,o,d,doi2,2
i,o,d,doi3,3
i,o,d,doi4,4
i,o,d,doi5,5
i,o,d,doi6,6
u,o,d,dou1,1
u,o,d,dou2,2
u,o,d,dou3,3
u,o,d,dou4,4
u,o,d,dou5,5
u,o,d,dou6,6
,o,d,do1,1
,o,d,do2,2
,o,d,do3,3
,o,d,do4,4
,o,d,do5,5
,o,d,do6,6
p,aa,g,gaap1,1
p,aa,g,gaap2,2
p,aa,g,gaap3,3
p,aa,g,gaap4,4
p,aa,g,gaap5,5
p,aa,g,gaap6,6
t,aa,g,gaat1,1
t,aa,g,gaat2,2
t,aa,g,gaat3,3
t,aa,g,gaat4,4
t,aa,g,gaat5,5
t,aa,g,gaat6,6
k,aa,g,gaak1,1
k,aa,g,gaak2,2
k,aa,g,gaak3,3
k,aa,g,gaak4,4
k,aa,g,gaak5,5
k,aa,g,gaak6,6
m,aa,g,gaam1,1
m,aa,g,gaam2,2
m,aa,g,gaam3,3
m,aa,g,gaam4,4
m,aa,g,gaam5,5
m,aa,g,gaam6,6
n,aa,g,gaan1,1
n,aa,g,gaan2,2
n,aa,g,gaan3,3
n,aa,g,gaan4,4
n,aa,g,gaan5,5
n,aa,g,gaan6,6
ng,aa,g,gaang1,1
ng,aa,g,gaang2,2
ng,aa,g,gaang3,3
ng,aa,g,gaang4,4
ng,aa,g,gaang5,5
